"kmeans_cluster","mean_commits","mean_lines_added","mean_lines_deleted","mean_total_churn","mean_churn_ratio","mean_avg_files_per_commit","mean_risk_intensity","mean_workload_intensity","mean_refactor_signal","n","behavior_label"
1,3.61059907834101,1226.32258064516,545.746543778802,1772.06912442396,0.461237479812572,2.79822251481238,131.514603621298,27.1386650532814,0.303617872732306,434,"Low-activity maintenance"
2,7.99397590361446,4085.18072289157,1841.43373493976,5926.61445783133,0.475456431474471,0.523372448088961,921.180759748518,69.5611629899703,0.315025052509301,166,"High-intensity burst"
3,7.93774319066148,3965.56809338521,1869.13618677043,5834.70428015564,0.479602207691515,1.73371482603,265.312698072614,68.9372208232529,0.320217789758273,257,"Normal feature development"
